id,ISO,Start Year,Start Month,Start Day,End Year,End Month,End Day,Admin Units,Entry Date,Last Update
2000-0330-CHN,CHN,2000,6,1,2000,6,1,"[{""adm1_code"":924,""adm1_name"":""Sichuan Sheng""},{""adm1_code"":929,""adm1_name"":""Yunnan Sheng""}]",7/1/03,9/25/23
2000-0331-GBR,GBR,2000,6,,2000,6,,"[{""adm2_code"":40138,""adm2_name"":""West Yorkshire""}]",7/1/03,9/25/23
2000-0332-IND,IND,2000,6,10,2000,6,10,"[{""adm2_code"":17582,""adm2_name"":""Golaghat""},{""adm2_code"":17589,""adm2_name"":""Nagaon""},{""adm2_code"":70041,""adm2_name"":""Administrative unit not available""},{""adm2_code"":70051,""adm2_name"":""Administrative unit not available""},{""adm2_code"":70054,""adm2_name"":""Administrative unit not available""},{""adm2_code"":17571,""adm2_name"":""East Siang""},{""adm2_code"":17572,""adm2_name"":""Lohit""},{""adm2_code"":17575,""adm2_name"":""West Siang""}]",9/15/05,9/25/23
2000-0333-MEX,MEX,2000,6,10,2000,6,14,"[{""adm2_code"":20573,""adm2_name"":""Dist. Tuxtepec""}]",4/24/05,9/25/23
2000-0345-NIC,NIC,2000,6,,2000,6,,"[{""adm2_code"":22403,""adm2_name"":""El  Rama""}]",7/1/03,9/25/23
2000-0356-FRA,FRA,2000,6,10,2000,6,10,"[{""adm2_code"":16301,""adm2_name"":""Haute-Garonne""},{""adm2_code"":16305,""adm2_name"":""Tarn-et-Garonne""}]",7/1/03,9/25/23
2000-0357-FRA,FRA,2000,5,,2000,5,,"[{""adm2_code"":16277,""adm2_name"":""Seine-Maritime""}]",7/1/03,9/25/23
2000-0359-ESP,ESP,2000,6,10,2000,6,10,"[{""adm1_code"":2717,""adm1_name"":""Aragón""},{""adm1_code"":2724,""adm1_name"":""Cataluña/Catalunya""},{""adm1_code"":2732,""adm1_name"":""Comunidad Foral de Navarra""}]",7/1/03,9/25/23
2000-0364-NGA,NGA,2000,6,,2000,6,,"[{""adm2_code"":190962,""adm2_name"":""Sokoto North""},{""adm2_code"":190966,""adm2_name"":""Sokoto South""}]",7/1/03,9/25/23
2000-0372-CHN,CHN,2000,6,17,2000,6,30,"[{""adm1_code"":914,""adm1_name"":""Jiangxi Sheng""},{""adm2_code"":13006,""adm2_name"":""Xiamen""},{""adm2_code"":13009,""adm2_name"":""Quanzhou""},{""adm2_code"":13010,""adm2_name"":""Zhangzhou""}]",2/23/06,9/25/23
2000-0373-BGD,BGD,2000,6,24,2000,6,24,"[{""adm2_code"":5770,""adm2_name"":""Chittagong""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",10/25/04,9/25/23
2000-0375-CHL,CHL,2000,6,12,2000,6,26,"[{""adm1_code"":884,""adm1_name"":""Araucania""},{""adm1_code"":888,""adm1_name"":""Coquimbo""},{""adm1_code"":889,""adm1_name"":""Libertador Gral. Bernardo O'Higgins""},{""adm1_code"":892,""adm1_name"":""Maule""},{""adm1_code"":893,""adm1_name"":""Metropolitana""},{""adm1_code"":91501,""adm1_name"":""Los Lagos""},{""adm1_code"":91504,""adm1_name"":""Los Rios""},{""adm1_code"":149630,""adm1_name"":""Valparaiso""}]",7/9/05,9/25/23
2000-0376-CHN,CHN,2000,6,8,2000,6,8,"[{""adm2_code"":13071,""adm2_name"":""Qiannan Buyei and Miao""}]",7/1/03,9/25/23
2000-0394-RUS,RUS,2000,6,,2000,6,,"[{""adm1_code"":2535,""adm1_name"":""Moskva""}]",7/1/03,9/25/23
2000-0399-ETH,ETH,2000,6,29,2000,6,29,"[{""adm2_code"":149277,""adm2_name"":""Region 14""},{""adm2_code"":149289,""adm2_name"":""East Shewa""}]",7/1/03,9/25/23
2000-0401-THA,THA,2000,6,21,2000,6,21,"[{""adm2_code"":26519,""adm2_name"":""Mae Chan""},{""adm2_code"":26523,""adm2_name"":""Muang Chiang Rai""}]",7/1/03,9/25/23
2000-0408-VNM,VNM,2000,7,,2000,11,,"[{""adm1_code"":3326,""adm1_name"":""An Giang""},{""adm1_code"":3343,""adm1_name"":""Dong Thap""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""},{""adm1_code"":3362,""adm1_name"":""Long An""},{""adm1_code"":3384,""adm1_name"":""Tien Giang""},{""adm1_code"":3388,""adm1_name"":""Vinh Long""},{""adm1_code"":73933,""adm1_name"":""Can Tho city""}]",9/17/06,9/25/23
2000-0426-CHN,CHN,2000,7,18,2000,7,18,"[{""adm2_code"":13271,""adm2_name"":""Garzê Tibetan""}]",7/1/03,9/25/23
